host_protein	abbreviated_data_source	is_experimental	data_source	acquisition_method	prioritized_for_pathway_analysis	do_ppi_expansion	source_specific_score	source_specific_score_type	activation	activation_type	metadata	uniprot	tdl
TIMM29	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.173	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BSF4	Tdark
TIMM8B	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.229	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9Y5J9	Tbio
TIMM9	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.177	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9Y5J7	Tbio
TLE1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.245	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q04724	Tbio
TLE3	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.209	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q04726	Tbio
TLE5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.203	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q08117	Tbio
TLR7	dti_jm_hcq||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.236	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q9NYK1	Tclin
TLR8	dti_jm_hcq||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.28600000000000003	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q9NR97	Tchem
TLR9	dti_jm_hcq||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.25	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q9NR96	Tclin
TM2D3	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.159	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9BRN9	Tbio
TMBIM6	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.21600000000000005	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P55061	Tbio
TMCO1	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.285	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q9UM00	Tbio
TMED5	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.19	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9Y3A6	Tdark
TMEM39B	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.197	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9GZU3	Tdark
TMEM97	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.18600000000000005	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q5BJF2	Tchem
TMIGD3	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.862	na||STRING DB score	na||na	na||na	source:dti||source:ppi	P0DMS9	Tchem
TMX3	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.245	na||STRING DB score	na||na	na||na	notes:;role:resistance_pro_viral||source:ppi	Q96JJ7	Tbio
TNFAIP8	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.152	na||STRING DB score	up||na	quantity change||na	na||source:ppi	O95379	Tbio
TOMM34	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.177	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q15785	Tbio
TOMM70	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.248	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O94826	Tbio
TOR1A	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.669	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O14656	Tbio
TOR1AIP1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.185	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q5JTV8	Tbio
TP53	hostprot_crispr||ppi_sg	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||SmartGraph	Extracted by TIO||SmartGraph analysis max. dist=3, min. conf=0	False||False	True||False	na||0.77	na||confidence	na||na	na||na	notes:RUNX3 regulates CDKN1A transcription;role:resistance_pro_viral||source:ppi	P04637	Tchem
TPD52L1	hostprot_nat	True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx	Shared by TIO	False	True	na	na	down	quantity change	na	Q16890	Tbio
TPR	ppi_string	True	STRING	STRING API	False	False	0.265	STRING DB score	na	na	source:ppi	P12270	Tbio
TPSAB1	dti_jm_cam||ppi_sg||ppi_string	False||True||True	Prediction by Jordi Mestres, PhD (JM)||SmartGraph||STRING	File shared by JM||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.14||0.158	na||confidence||STRING DB score	na||na||na	na||na||na	source:dti||source:ppi||source:ppi	Q15661	Tclin
TRAF2	ppi_sg	True	SmartGraph	SmartGraph analysis max. dist=3, min. conf=0	False	False	0.98	confidence	na	na	source:ppi	Q12933	Tbio
TRAF3	hostprot_crispr||dti_jm_hcq||ppi_sg||ppi_string	True||False||True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||Prediction by Jordi Mestres, PhD (JM)||SmartGraph||STRING	Extracted by TIO||File shared by JM||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False||False	True||True||False||False	na||na||0.8||0.198	na||na||confidence||STRING DB score	na||na||na||na	na||na||na||na	notes:;role:resistance_pro_viral||source:dti||source:ppi||source:ppi	Q13114	Tbio
TREML1	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.151	na||STRING DB score	na||na	na||na	na||source:ppi	Q86YW5	Tbio
TRIM16	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.158	na||STRING DB score	up||na	quantity change||na	na||source:ppi	O95361	Tbio
TRIM59	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.447	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q8IWR1	Tbio
TRIP12	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.229	na||STRING DB score	na||na	na||na	notes:ASF1A ;role:sensitization_anti-viral||source:ppi	Q14669	Tbio
TRMT1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.536	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9NXH9	Tbio
TRPM4	dti_jm_nhc||ppi_string	False||True	Prediction by Jordi Mestres, PhD (JM)||STRING	File shared by JM||STRING API	False||False	True||False	na||0.224	na||STRING DB score	na||na	na||na	source:dti||source:ppi	Q8TD43	Tchem
TSPAN8	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.182	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P19075	Tbio
TTR	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.195	na||STRING DB score	down||na	quantity change||na	na||source:ppi	P02766	Tclin
TUBA1A	hpi_phipster	False	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)	Predictions by PHIPSTER webapp, shared by TIO	False	True	na	na	na	na	source:hpi	Q71U36	Tchem
TUBGCP2	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.574	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9BSJ2	Tbio
TUBGCP3	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.191	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q96CW5	Tbio
TYSND1	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.963	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q2T9J0	Tbio
UBA52	hpi_phipster||hostprot_taiml	False||False	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO	False||False	True||True	na||na	na||na	na||na	na||na	source:hpi||na	P62987	Tbio
UBAP2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.307	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q5T6F2	Tbio
UBAP2L	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.152	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q14157	Tbio
UBB	hpi_phipster||hostprot_taiml	False||False	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO	False||False	True||True	na||na	na||na	na||na	na||na	source:hpi||na	P0CG47	Tbio
UBC	hpi_phipster||hostprot_taiml	False||False	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO	False||False	True||True	na||na	na||na	na||na	na||na	source:hpi||na	P0CG48	Tbio
UBD	hpi_phipster||hostprot_taiml||ppi_string	False||False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.362	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	O15205	Tbio
UBE2C	hostprot_nat||ppi_sg||ppi_string	True||True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||SmartGraph||STRING	Shared by TIO||SmartGraph analysis max. dist=3, min. conf=0||STRING API	False||False||False	True||False||False	na||0.07||0.19	na||confidence||STRING DB score	down||na||na	quantity change||na||na	na||source:ppi||source:ppi	O00762	Tbio
UBE2I	ppi_string	True	STRING	STRING API	False	False	0.248	STRING DB score	na	na	source:ppi	P63279	Tbio
UBL5	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.479	na||STRING DB score	down||na	quantity change||na	na||source:ppi	Q9BZL1	Tbio
UBQLN2	hpi_phipster||hostprot_taiml||ppi_string	False||False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.385	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q9UHD9	Tbio
UBTD1	hpi_phipster||ppi_string	False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||STRING API	False||False	True||False	na||0.16	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9HAC8	Tdark
UBXN7	hostprot_crispr||ppi_string	True||True	Wei et al., bioRxiv, 2020, https://doi.org/10.1101/2020.06.16.155101||STRING	Extracted by TIO||STRING API	False||False	True||False	na||0.163	na||STRING DB score	na||na	na||na	notes:;role:resistance_pro_viral||source:ppi	O94888	Tbio
UBXN8	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.168	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	O00124	Tbio
UGDH	hostprot_nat||ppi_string	True||True	Derived by Tudor I. Oprea, MD, PhD from the work of Drug targets from Nature paper (Bojkova et al., DOI: 10.1038/s41586-020-2332-7), Supplementary Table 1: https://static-content.springer.com/esm/art%3A10.1038%2Fs41586-020-2332-7/MediaObjects/41586_2020_2332_MOESM2_ESM.xlsx||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.177	na||STRING DB score	down||na	quantity change||na	na||source:ppi	O60701	Tbio
UGGT2	hpi_krogan||ppi_string	True||True	SARS-CoV-2 - Human Interactome, Krogan et al.||STRING	Preprint/Nature, experimental data||STRING API	False||False	True||False	na||0.322	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q9NYU1	Tbio
UHRF1	hpi_phipster||ppi_string	False||True	PHIPSTER predictions by by Tudor I. Oprea, MD PhD (TIO)||STRING	Predictions by PHIPSTER webapp, shared by TIO||STRING API	False||False	True||False	na||0.218	na||STRING DB score	na||na	na||na	source:hpi||source:ppi	Q96T88	Tbio
UNC5A	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.23	na||STRING DB score	na||na	na||na	na||source:ppi	Q6ZN44	Tbio
UNC5D	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.23	na||STRING DB score	na||na	na||na	na||source:ppi	Q6UXZ4	Tbio
UNC79	hostprot_taiml||ppi_string	False||True	Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Shared by TIO||STRING API	False||False	True||False	na||0.362	na||STRING DB score	na||na	na||na	na||source:ppi	Q9P2D8	Tbio
UPF1	hpi_krogan||hostprot_taiml||ppi_string	True||False||True	SARS-CoV-2 - Human Interactome, Krogan et al.||Predicted Viral Targets by Meta Path predictions, by Tudor I. Oprea, MD PhD (TIO)||STRING	Preprint/Nature, experimental data||Shared by TIO||STRING API	False||False||False	True||True||False	na||na||0.174	na||na||STRING DB score	na||na||na	na||na||na	source:hpi||na||source:ppi	Q92900	Tbio
